Dependency=Type_Logement;Dependency=Geometry Stories;Option=1;Option=2;Option=3;Option=4;Option=5;Option=6;Option=7;Option=8;Option=9;Option=10;Option=11;Option=12;Option=13;Option=14;Option=15;Option=16;Option=17;Option=18;Option=19;Option=20;Option=24;Option=30;Option=36;Option=43;Option=67;Option=116;Option=183;Option=326
Triplex;1;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;2;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;3;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;4;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;5;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;6;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;7;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;8;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;9;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;10;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;11;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;12;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;13;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;14;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;15;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;20;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;21;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Triplex;35;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;2;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;3;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;4;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;5;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;6;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;7;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;8;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;9;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;10;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;11;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;12;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;13;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;14;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;15;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;20;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;21;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison individuelle;35;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;1;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;2;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;3;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;4;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;5;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;6;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;7;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;8;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;9;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;10;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;11;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;12;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;13;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;14;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;15;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;20;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;21;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maison en rangee;35;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Collective;1;0;0;0;0;0.13077490282040016;0.13988501897616137;0.06204867796947387;0.2014524178687463;0.0;0.06335786988979147;0.0;0.07805282251493474;0.01603856313934347;0.0039005493852158376;0.015194545835125578;0.057174637340895416;0.0;0.0039789896551245645;0.0;0.04297298013500706;0.06138805726305087;0.03664532528832955;0.005246805766345896;0.017167685871724347;0.040571921396262436;0.013194419123081384;0.0;0.010953809760985736
Collective;2;0;0;0;0;0.0455082842722783;0.10758253260195944;0.02409456430093528;0.3524127273306354;0.011954053992307668;0.07724031864246894;0.00894778151863683;0.0986456749545047;0.008457950889785525;0.020447992300491536;0.016712509548719796;0.05352195528523636;0.0010292083966163812;0.007855186924100302;0.0024688013003746193;0.041294787047716316;0.03648245041698903;0.011468536053890935;0.010497092266219032;0.013739660257794746;0.031194260125351366;0.008960737809973775;0.006266986801943414;0.0032159469610704623
Collective;3;0;0;0;0;0.034317149342252676;0.1539342964310118;0.007390186869831451;0.03185289308452092;0.016081409459248595;0.04775908954494975;0.005460931256024056;0.1938737615305489;0.011826707597643695;0.0007355289307922271;0.02065513960342565;0.016861521846944512;0.0009566718933151436;0.028647415016566938;0.0;0.03554005354324779;0.0841445923351804;0.07662782543222312;0.04287642242045581;0.034556213627401314;0.10183377200597205;0.03216013384234287;0.00594810627319685;0.015960178112903407
Collective;4;0;0;0;0;0.004891095295284406;0.03230120936269123;0.01211755945526416;0.021493308501732266;0.005802976500087395;0.04066171249571705;0.0035805726471869817;0.053501204720756715;0.003543509557990327;0.01627651839423515;0.010975929872689208;0.032981683952589914;0.004712370846895225;0.005514001842378956;0.0;0.06285252097603071;0.037789645398810835;0.07614468824581402;0.05196293771191401;0.12639935854202125;0.26847139632529293;0.05433160879366153;0.0462121400324752;0.027482050528480448
Collective;5;0;0;0;0;0.004891095295284406;0.03230120936269123;0.01211755945526416;0.021493308501732266;0.005802976500087395;0.04066171249571705;0.0035805726471869817;0.053501204720756715;0.003543509557990327;0.01627651839423515;0.010975929872689208;0.032981683952589914;0.004712370846895225;0.005514001842378956;0.0;0.06285252097603071;0.037789645398810835;0.07614468824581402;0.05196293771191401;0.12639935854202125;0.26847139632529293;0.05433160879366153;0.0462121400324752;0.027482050528480448
Collective;6;0;0;0;0;0.004891095295284406;0.03230120936269123;0.01211755945526416;0.021493308501732266;0.005802976500087395;0.04066171249571705;0.0035805726471869817;0.053501204720756715;0.003543509557990327;0.01627651839423515;0.010975929872689208;0.032981683952589914;0.004712370846895225;0.005514001842378956;0.0;0.06285252097603071;0.037789645398810835;0.07614468824581402;0.05196293771191401;0.12639935854202125;0.26847139632529293;0.05433160879366153;0.0462121400324752;0.027482050528480448
Collective;7;0;0;0;0;0.004891095295284406;0.03230120936269123;0.01211755945526416;0.021493308501732266;0.005802976500087395;0.04066171249571705;0.0035805726471869817;0.053501204720756715;0.003543509557990327;0.01627651839423515;0.010975929872689208;0.032981683952589914;0.004712370846895225;0.005514001842378956;0.0;0.06285252097603071;0.037789645398810835;0.07614468824581402;0.05196293771191401;0.12639935854202125;0.26847139632529293;0.05433160879366153;0.0462121400324752;0.027482050528480448
Collective;8;0;0;0;0;0.004428885780211095;0.008146327856118508;0.0;0.0054696998485336025;0.0051927303714106735;0.0056827162552225505;0.0;0.005390900807193609;0.0;0.0;0.0;0.015656779552440353;0.0;0.0;0.0;0.005776548682983156;0.003987666234922802;0.01567253034528743;0.0;0.0020089556911259436;0.17392965181150852;0.2709349839693296;0.14101823220937856;0.3367033905843336
Collective;9;0;0;0;0;0.004428885780211095;0.008146327856118508;0.0;0.0054696998485336025;0.0051927303714106735;0.0056827162552225505;0.0;0.005390900807193609;0.0;0.0;0.0;0.015656779552440353;0.0;0.0;0.0;0.005776548682983156;0.003987666234922802;0.01567253034528743;0.0;0.0020089556911259436;0.17392965181150852;0.2709349839693296;0.14101823220937856;0.3367033905843336
Collective;10;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;11;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;12;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;13;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;14;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;15;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;20;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;21;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
Collective;35;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00581791079424683;0.0;0.005519152917068768;0.0;0.0;0.0;0.016029261830127827;0.0;0.0;0.0;0.00591397554036487;0.004082534722843102;0.01604538734187386;0.0;0.002056749708350078;0.17806752145750748;0.2773806568866816;0.14437312343415945;0.34471372536677614
